Algorithm,File Type,Alphabet Size,Text Size,Pattern Size,Time
Naive Algorithm,DNA,4,1.6kb,8,0.0019750595092773438
Naive Algorithm,DNA,4,1.6kb,1024,0.0019419193267822266
Naive Algorithm,DNA,4,4.6Mb,8,5.683239936828613
Naive Algorithm,DNA,4,4.6Mb,1024,5.566890001296997
Zhu-Takaoka,DNA,4,1.6kb,8,0.02261519432067871
Zhu-Takaoka,DNA,4,1.6kb,1024,0.023972034454345703
Zhu-Takaoka,DNA,4,4.6Mb,8,1.865044116973877
Zhu-Takaoka,DNA,4,4.6Mb,1024,0.43445897102355957
Colussi,DNA,4,1.6kb,8,0.0027031898498535156
Colussi,DNA,4,1.6kb,1024,0.00503993034362793
Colussi,DNA,4,4.6Mb,8,7.274430990219116
Colussi,DNA,4,4.6Mb,1024,7.053837060928345
Rabin-Karp Algorithm,DNA,4,1.6kb,8,0.012681961059570312
Rabin-Karp Algorithm,DNA,4,1.6kb,1024,0.015734195709228516
Rabin-Karp Algorithm,DNA,4,4.6Mb,8,38.31057786941528
Rabin-Karp Algorithm,DNA,4,4.6Mb,1024,49.620224952697754
